3454.0 2.53736 1e-20
3456.0 2.42871 1e-20
3458.0 2.27968 1e-20
3460.0 2.32657 1e-20
3462.0 2.36797 1e-20
3464.0 2.39084 1e-20
3466.0 2.48128 1e-20
3468.0 2.22699 1e-20
3470.0 2.33428 1e-20
3472.0 2.45932 1e-20
3474.0 2.61967 1e-20
3476.0 2.66449 1e-20
3478.0 2.50784 1e-20
3480.0 2.60431 1e-20
3482.0 2.65161 1e-20
3484.0 2.83709 1e-20
3486.0 2.67154 1e-20
3488.0 2.72509 1e-20
3490.0 2.93886 1e-20
3492.0 2.88736 1e-20
3494.0 2.90158 1e-20
3496.0 2.99346 1e-20
3498.0 2.98929 1e-20
3500.0 3.09247 1e-20
3502.0 3.23723 1e-20
3504.0 3.23091 1e-20
3506.0 3.26926 1e-20
3508.0 3.38381 1e-20
3510.0 3.49526 1e-20
3512.0 3.4756 1e-20
3514.0 3.57189 1e-20
3516.0 3.8799 1e-20
3518.0 3.97471 1e-20
3520.0 4.10081 1e-20
3522.0 4.03146 1e-20
3524.0 4.07918 1e-20
3526.0 4.30923 1e-20
3528.0 4.41301 1e-20
3530.0 4.27655 1e-20
3532.0 4.56705 1e-20
3534.0 4.72658 1e-20
3536.0 4.6954 1e-20
3538.0 4.83354 1e-20
3540.0 4.87203 1e-20
3542.0 4.94593 1e-20
3544.0 5.05858 1e-20
3546.0 5.00815 1e-20
3548.0 5.06339 1e-20
3550.0 4.98314 1e-20
3552.0 4.93848 1e-20
3554.0 5.01811 1e-20
3556.0 5.20092 1e-20
3558.0 5.12248 1e-20
3560.0 4.96943 1e-20
3562.0 4.97724 1e-20
3564.0 5.10641 1e-20
3566.0 4.98868 1e-20
3568.0 5.19569 1e-20
3570.0 5.26969 1e-20
3572.0 5.07981 1e-20
3574.0 5.1774 1e-20
3576.0 5.22828 1e-20
3578.0 5.35313 1e-20
3580.0 5.32109 1e-20
3582.0 5.42231 1e-20
3584.0 5.47776 1e-20
3586.0 5.3599 1e-20
3588.0 5.28452 1e-20
3590.0 5.23375 1e-20
3592.0 5.22993 1e-20
3594.0 5.30211 1e-20
3596.0 5.43469 1e-20
3598.0 5.40787 1e-20
3600.0 5.47326 1e-20
3602.0 5.30707 1e-20
3604.0 5.37845 1e-20
3606.0 5.32416 1e-20
3608.0 5.37194 1e-20
3610.0 5.38999 1e-20
3612.0 5.48262 1e-20
3614.0 5.40662 1e-20
3616.0 5.32715 1e-20
3618.0 5.47809 1e-20
3620.0 5.35952 1e-20
3622.0 5.40393 1e-20
3624.0 5.42264 1e-20
3626.0 5.39504 1e-20
3628.0 5.26167 1e-20
3630.0 5.32303 1e-20
3632.0 5.39829 1e-20
3634.0 5.2959 1e-20
3636.0 5.54838 1e-20
3638.0 5.47175 1e-20
3640.0 5.46594 1e-20
3642.0 5.52449 1e-20
3644.0 5.62015 1e-20
3646.0 5.79014 1e-20
3648.0 5.6646 1e-20
3650.0 5.68417 1e-20
3652.0 5.84754 1e-20
3654.0 5.86732 1e-20
3656.0 5.75794 1e-20
3658.0 5.68054 1e-20
3660.0 5.71718 1e-20
3662.0 5.8804 1e-20
3664.0 5.9153 1e-20
3666.0 5.80029 1e-20
3668.0 5.83533 1e-20
3670.0 5.92337 1e-20
3672.0 5.85803 1e-20
3674.0 5.77558 1e-20
3676.0 5.88802 1e-20
3678.0 5.92984 1e-20
3680.0 5.80072 1e-20
3682.0 5.62498 1e-20
3684.0 5.83793 1e-20
3686.0 5.65613 1e-20
3688.0 5.71516 1e-20
3690.0 5.80714 1e-20
3692.0 5.61791 1e-20
3694.0 5.51799 1e-20
3696.0 5.5849 1e-20
3698.0 5.52717 1e-20
3700.0 5.38727 1e-20
3702.0 5.28188 1e-20
3704.0 5.04685 1e-20
3706.0 4.86742 1e-20
3708.0 4.88442 1e-20
3710.0 4.72681 1e-20
3712.0 4.39881 1e-20
3714.0 4.22036 1e-20
3716.0 4.06227 1e-20
3718.0 3.76688 1e-20
3720.0 3.53958 1e-20
3722.0 3.47186 1e-20
3724.0 3.3225 1e-20
3726.0 3.22354 1e-20
3728.0 2.95865 1e-20
3730.0 2.91535 1e-20
3732.0 2.86956 1e-20
3734.0 2.68683 1e-20
3736.0 2.59104 1e-20
3738.0 2.55345 1e-20
3740.0 2.51323 1e-20
3742.0 2.41713 1e-20
3744.0 2.39308 1e-20
3746.0 2.39357 1e-20
3748.0 2.30611 1e-20
3750.0 2.14781 1e-20
3752.0 2.11064 1e-20
3754.0 2.04807 1e-20
3756.0 1.99339 1e-20
3758.0 1.99686 1e-20
3760.0 2.00493 1e-20
3762.0 1.91305 1e-20
3764.0 1.95984 1e-20
3766.0 2.01311 1e-20
3768.0 1.84329 1e-20
3770.0 1.94641 1e-20
3772.0 2.03162 1e-20
3774.0 1.95687 1e-20
3776.0 2.02305 1e-20
3778.0 2.14593 1e-20
3780.0 2.12042 1e-20
3782.0 2.05734 1e-20
3784.0 2.19226 1e-20
3786.0 2.08335 1e-20
3788.0 2.16004 1e-20
3790.0 2.07267 1e-20
3792.0 2.1361 1e-20
3794.0 2.01781 1e-20
3796.0 2.06686 1e-20
3798.0 2.10616 1e-20
3800.0 2.12587 1e-20
3802.0 2.15106 1e-20
3804.0 2.0628 1e-20
3806.0 2.15822 1e-20
3808.0 2.13221 1e-20
3810.0 2.24625 1e-20
3812.0 2.26738 1e-20
3814.0 2.34048 1e-20
3816.0 2.31148 1e-20
3818.0 2.17181 1e-20
3820.0 2.28731 1e-20
3822.0 2.3611 1e-20
3824.0 2.43755 1e-20
3826.0 2.4294 1e-20
3828.0 2.5289 1e-20
3830.0 2.45092 1e-20
3832.0 2.54794 1e-20
3834.0 2.58873 1e-20
3836.0 2.53839 1e-20
3838.0 2.60061 1e-20
3840.0 2.78165 1e-20
3842.0 2.74693 1e-20
3844.0 2.85871 1e-20
3846.0 2.92162 1e-20
3848.0 2.96479 1e-20
3850.0 3.03305 1e-20
3852.0 3.08126 1e-20
3854.0 3.13589 1e-20
3856.0 3.21617 1e-20
3858.0 3.27867 1e-20
3860.0 3.31514 1e-20
3862.0 3.43548 1e-20
3864.0 3.49263 1e-20
3866.0 3.46714 1e-20
3868.0 3.52788 1e-20
3870.0 3.68195 1e-20
3872.0 3.72725 1e-20
3874.0 3.56547 1e-20
3876.0 3.62265 1e-20
3878.0 3.65282 1e-20
3880.0 3.76085 1e-20
3882.0 3.69311 1e-20
3884.0 3.80882 1e-20
3886.0 3.82103 1e-20
3888.0 3.89177 1e-20
3890.0 4.01828 1e-20
3892.0 4.03133 1e-20
3894.0 4.02574 1e-20
3896.0 4.2155 1e-20
3898.0 4.19465 1e-20
3900.0 4.39097 1e-20
3902.0 4.42511 1e-20
3904.0 4.45834 1e-20
3906.0 4.35311 1e-20
3908.0 4.33757 1e-20
3910.0 4.40329 1e-20
3912.0 4.40434 1e-20
3914.0 4.4588 1e-20
3916.0 4.4601 1e-20
3918.0 4.53831 1e-20
3920.0 4.61026 1e-20
3922.0 4.64284 1e-20
3924.0 4.7062 1e-20
3926.0 4.75956 1e-20
3928.0 4.99083 1e-20
3930.0 4.78528 1e-20
3932.0 4.75635 1e-20
3934.0 4.78496 1e-20
3936.0 5.01095 1e-20
3938.0 5.06165 1e-20
3940.0 5.12038 1e-20
3942.0 5.23219 1e-20
3944.0 5.31564 1e-20
3946.0 5.22628 1e-20
3948.0 5.24219 1e-20
3950.0 5.353 1e-20
3952.0 5.37322 1e-20
3954.0 5.43494 1e-20
3956.0 5.36796 1e-20
3958.0 5.52844 1e-20
3960.0 5.50937 1e-20
3962.0 5.53966 1e-20
3964.0 5.59501 1e-20
3966.0 5.47877 1e-20
3968.0 5.61177 1e-20
3970.0 5.71153 1e-20
3972.0 5.69257 1e-20
3974.0 5.63127 1e-20
3976.0 5.70364 1e-20
3978.0 5.73704 1e-20
3980.0 5.67687 1e-20
3982.0 5.71748 1e-20
3984.0 5.81256 1e-20
3986.0 5.72946 1e-20
3988.0 5.78229 1e-20
3990.0 5.68473 1e-20
3992.0 5.76317 1e-20
3994.0 5.89357 1e-20
3996.0 5.76086 1e-20
3998.0 5.81689 1e-20
4000.0 5.9915 1e-20
4002.0 5.96653 1e-20
4004.0 5.93863 1e-20
4006.0 6.04444 1e-20
4008.0 6.00654 1e-20
4010.0 6.0198 1e-20
4012.0 5.82997 1e-20
4014.0 5.77661 1e-20
4016.0 5.94319 1e-20
