Filename,SN Name,z,6150A Vel,6150A V_Err,6150A pEW,6150A pEW_Err,5800A Vel,5800A V_Err,5800A pEW,5800A pEW_Err
SN2000dn.json,SN2000dn,0.032065,11.062714140690105,0.09051908960408545,96.73980250360933,4.836990125180467,9.823963473094995,0.09594062210577925,18.097433816740917,0.9048716908370459
SN2008fr.json,SN2008fr,0.039,,,,,,,,
SN2007ux.json,SN2007ux,0.030915,10.570403863873121,0.16047780582937385,73.65359965120638,3.682679982560319,10.366023951021084,0.17063696517154123,40.554554250227355,2.0277277125113677
SN1999cp.json,SN1999cp,0.00948,14.563222114911548,0.09353961681964838,107.57728408121494,5.378864204060747,10.874533944737433,0.09840799552528812,11.35817249605007,0.5679086248025035
PS1-14ra.json,PS1-14ra,0.03,11.990959619714669,0.13335751614904218,126.46946665603167,6.3234733328015835,11.712093920498859,0.14176817621157767,33.0562966196414,1.65281483098207
SN2005el.json,SN2005el,0.014885,15.566961153346735,0.13080952948718194,82.98274110741386,4.149137055370693,,,,
SN2008fp.json,SN2008fp,0.006287,,,,,,,,
SN2009le.json,SN2009le,0.017792,,,,,,,,
SN2007af.json,SN2007af,0.005464,,,,,,,,
SN2007on.json,SN2007on,0.006494,13.08989449347766,0.13201049532911388,85.16127039825633,4.258063519912817,,,,
SN2009ds.json,SN2009ds,0.019227,,,,,,,,
SN2000cx.json,SN2000cx,0.007929,10.521722588666725,0.0864159089294506,14.512664089639541,0.7256332044819771,,,,
SN2012gm.json,SN2012gm,0.0148,11.728871247282592,0.11027152469961325,71.86782772291768,3.593391386145884,10.530429110070955,0.11689281474818328,7.722350275992415,0.3861175137996208
SN2000dr.json,SN2000dr,0.018796,10.164455946485651,0.16993682438074198,130.1356501099374,6.5067825054968695,9.448855742226854,0.18040621782921665,44.06964746555899,2.2034823732779496
SN2006hx.json,SN2006hx,0.044404,,,,,,,,
SN2009ad.json,SN2009ad,0.02834,,,,,,,,
ASASSN-14hr.json,ASASSN-14hr,0.03362,11.706809394082995,0.09876236607001897,104.24646742349671,5.212323371174836,11.259811307049462,0.10493649295010764,22.909099988370308,1.1454549994185155
SN2002er.json,SN2002er,0.008569,13.840212697372746,0.08977076181284233,87.77762173364076,4.388881086682038,13.03980657936503,0.09528205493185146,17.639737391957848,0.8819868695978924
SN2014I.json,SN2014I,0.03,,,,,,,,
SN2007le.json,SN2007le,0.006721,15.777400911442871,0.09710980696850902,144.23163733845917,7.211581866922959,,,,
SN2008gl.json,SN2008gl,0.034017,,,,,3.3645539493237204,0.12905748141398413,54.43805247897673,2.7219026239488366
SN2012hr.json,SN2012hr,0.008,13.11655093656157,0.13660405203528125,134.3281728701428,6.71640864350714,10.840124925282502,0.14433058546112246,10.161547462231043,0.5080773731115522
SN2007ol.json,SN2007ol,0.0498,,,,,,,,
SN2002dl.json,SN2002dl,0.016251,12.142557494633508,0.09270489341525694,103.87860848139132,5.193930424069567,11.63564664950052,0.0984825707359723,37.27914759790667,1.8639573798953337
LSQ12gdj.json,LSQ12gdj,0.03,,,,,,,,
ASASSN-15fr.json,ASASSN-15fr,0.033436,11.047167546547165,0.13238432942508976,90.99963484320278,4.549981742160139,9.222465007370092,0.14005641177678727,1.9624524435768234,0.09812262217884117
SN2009ab.json,SN2009ab,0.01087,,,,,14.25076794276687,0.061407661515880375,31.614175374337375,1.5807087687168688
SN2008C.json,SN2008C,0.017067,11.115856656959828,0.09476827953216622,81.73160027736384,4.0865800138681925,10.212996716262248,0.1005496251896032,13.23680406956949,0.6618402034784746
SN2003Y.json,SN2003Y,0.01694,10.761893482977218,0.09167173778255898,97.38915941215322,4.8694579706076615,11.01554826316205,0.09761365034493838,53.98900520702853,2.6994502603514263
SN2003gt.json,SN2003gt,0.015657,11.04323402888408,0.173335005825134,69.19012199669305,3.4595060998346527,10.147572856786534,0.18391318244129126,17.774015572727322,0.8887007786363661
SN2007bd.json,SN2007bd,0.031939,15.32070677322567,0.09450121450496236,102.91744532572125,5.145872266286062,13.489015525780326,0.09999245356837307,16.882744056722466,0.8441372028361234
SN2001ep.json,SN2001ep,0.013012,11.703518053471187,0.09240419377339328,101.7530246139419,5.087651230697095,10.83971274089924,0.09805430443501355,28.743499578653854,1.4371749789326929
SN2009ag.json,SN2009ag,0.00864,13.046953502011743,0.13143228979682525,102.9137392667809,5.145686963339045,11.804331302351052,0.13930997123186237,17.793329625694113,0.8896664812847057
SN2007ca.json,SN2007ca,0.014066,12.391959369637462,0.17055239825067822,61.57373688017923,3.0786868440089616,9.407835365246598,0.17979506543016424,4.509806310119554,0.22549031550597773
SN2006lf.json,SN2006lf,0.013189,12.111391453139163,0.0953165463086372,89.71313399773518,4.48565669988676,,,,
SN2011jh.json,SN2011jh,0.0078,15.5100568635735,0.12119076979923242,117.33487365945089,5.866743682972545,13.92065773231489,0.12832815553110366,28.959467916934283,1.4479733958467143
SN2002ha.json,SN2002ha,0.014046,11.270553154587986,0.0921867734693297,99.08095087781692,4.954047543890846,10.949114643762694,0.09798751812912795,22.598802205004713,1.1299401102502358
SN2008bq.json,SN2008bq,0.034436,,,,,,,,
SN2008hj.json,SN2008hj,0.03789,12.882357215777011,0.10851019312840054,96.60971172339191,4.830485586169596,12.555718847006402,0.11533751675864766,13.290604477012826,0.6645302238506413
