supernova_name,v_SiII,v_SiII_err,pEW_SiII_5972,pEW_SiII_5972_err,pEW_SiII_6355,pEW_SiII_6355_err
SN2012aq,11.2,0.4,27.6,2.2,105.5,3.5
SN2012bl,14.7,0.3,2.3,1.2,90.5,2.4
SN2012fr,12.1,0.2,6.5,1.7,70.5,3.1
SN2012gm,10.4,0.3,24.1,4,101.5,7.5
SN2012hl,12.9,0.2,13.3,3.4,142,7.3
SN2012hr,12.6,0.3,15.3,1.3,134.7,2.1
SN2012ht,10.9,0.2,27.5,1.9,115.2,2.7
SN2012ij,10.8,0.3,53.3,4,121.5,4.7
SN2013E,12.6,0.3,3.8,1.5,65.2,3
SN2013fy,10.8,0.3,14.4,1.4,93.4,3.1
SN2013gy,10.2,0.3,28.9,4.2,114.1,4.3
SN2014I,11.3,0.2,23.5,3.7,98.7,4.7
SN2014dn,10.4,0.6,70.9,6.2,140.1,4.7
SN2005cf,10.3,0.3,17,1.1,89.7,1.2
SN2005de,10.7,0.3,30.2,3.2,102.9,3.5
SN2006cp,14.9,0.5,15.3,2.4,159,3
SN2006gr,11.3,0.4,3.3,2.5,65,4.2
SN2006le,11.4,0.2,13,2.4,93.3,5.2
SN2006lf,11.7,0.1,25.7,3,100.4,4.4
SN2007ci,12.3,0.4,50,2.6,126.4,2.8
SN2008ec,10.8,0.7,36.7,2.8,119.3,3.1
