# wavelength flux error
5.952049e+03 1.767783e-15 1.732051e-20
5.956216e+03 1.731511e-15 1.732051e-20
5.960382e+03 2.336691e-15 2.000000e-20
5.964548e+03 2.035276e-15 1.732051e-20
5.968715e+03 1.765683e-15 1.732051e-20
5.972881e+03 2.303415e-15 2.000000e-20
5.977048e+03 1.701093e-15 1.732051e-20
5.981214e+03 1.769224e-15 1.732051e-20
5.985380e+03 2.370629e-15 2.000000e-20
5.989547e+03 1.832670e-15 1.732051e-20
5.993713e+03 1.861325e-15 1.732051e-20
5.997880e+03 2.483424e-15 2.000000e-20
6.002046e+03 1.843382e-15 1.732051e-20
6.006213e+03 1.846364e-15 1.732051e-20
6.010379e+03 2.474075e-15 2.000000e-20
6.014545e+03 1.938855e-15 1.732051e-20
6.018712e+03 1.892318e-15 1.732051e-20
6.022878e+03 2.612761e-15 2.000000e-20
6.027045e+03 1.957980e-15 1.732051e-20
6.031211e+03 1.983515e-15 1.732051e-20
6.035377e+03 2.572441e-15 2.000000e-20
6.039544e+03 1.971809e-15 1.732051e-20
6.043710e+03 1.992213e-15 1.732051e-20
6.047877e+03 2.591934e-15 2.000000e-20
6.052043e+03 1.971845e-15 1.732051e-20
6.056209e+03 1.981262e-15 1.732051e-20
6.060376e+03 2.024837e-15 1.732051e-20
6.064542e+03 2.692993e-15 2.000000e-20
6.068709e+03 2.018236e-15 1.732051e-20
6.072875e+03 2.066083e-15 1.732051e-20
6.077041e+03 2.672810e-15 2.000000e-20
6.081208e+03 2.006062e-15 1.732051e-20
6.085374e+03 1.896525e-15 1.732051e-20
6.089541e+03 2.562256e-15 2.000000e-20
6.093707e+03 1.878596e-15 1.732051e-20
6.097874e+03 2.009452e-15 1.732051e-20
6.102040e+03 2.698848e-15 2.000000e-20
6.106206e+03 1.988542e-15 1.732051e-20
6.110373e+03 1.982628e-15 1.732051e-20
6.114539e+03 2.685596e-15 2.000000e-20
6.118706e+03 2.061307e-15 1.732051e-20
6.122872e+03 2.022556e-15 1.732051e-20
6.127038e+03 2.743934e-15 2.000000e-20
6.131205e+03 2.026089e-15 1.732051e-20
6.135371e+03 2.025625e-15 1.732051e-20
6.139538e+03 2.700554e-15 2.000000e-20
6.143704e+03 2.004577e-15 1.732051e-20
6.147870e+03 2.056185e-15 1.732051e-20
6.152037e+03 2.673924e-15 2.000000e-20
6.156203e+03 1.966724e-15 1.732051e-20
6.160370e+03 1.980104e-15 1.732051e-20
6.164536e+03 2.622115e-15 2.000000e-20
6.168702e+03 1.928170e-15 1.732051e-20
6.172869e+03 1.934744e-15 1.732051e-20
6.177035e+03 2.510316e-15 2.000000e-20
6.181202e+03 1.863819e-15 1.732051e-20
6.185368e+03 1.790597e-15 1.732051e-20
6.189535e+03 2.348852e-15 2.000000e-20
6.193701e+03 1.718678e-15 1.732051e-20
6.197867e+03 1.662715e-15 1.732051e-20
6.202034e+03 2.122711e-15 2.000000e-20
6.206200e+03 1.549628e-15 1.732051e-20
6.210367e+03 1.482538e-15 1.732051e-20
6.214533e+03 1.945627e-15 2.000000e-20
6.218699e+03 1.383884e-15 1.732051e-20
6.222866e+03 1.335939e-15 1.732051e-20
6.227032e+03 1.786381e-15 2.000000e-20
6.231199e+03 1.298093e-15 1.732051e-20
6.235365e+03 1.244495e-15 1.732051e-20
6.239531e+03 1.645189e-15 2.000000e-20
6.243698e+03 1.160108e-15 1.732051e-20
6.247864e+03 1.237168e-15 1.732051e-20
6.252031e+03 1.518409e-15 2.000000e-20
6.256197e+03 1.140085e-15 1.732051e-20
6.260363e+03 1.100368e-15 1.732051e-20
6.264530e+03 1.441695e-15 2.000000e-20
6.268696e+03 1.061325e-15 1.732051e-20
6.272863e+03 1.086810e-15 1.732051e-20
6.277029e+03 1.041310e-15 1.732051e-20
6.281196e+03 1.393082e-15 2.000000e-20
6.285362e+03 9.969599e-16 1.732051e-20
6.289528e+03 1.005850e-15 1.732051e-20
6.293695e+03 1.272661e-15 2.000000e-20
6.297861e+03 1.014343e-15 1.732051e-20
6.302028e+03 9.182934e-16 1.732051e-20
6.306194e+03 1.289955e-15 2.000000e-20
6.310360e+03 9.776142e-16 1.732051e-20
6.314527e+03 9.603439e-16 1.732051e-20
6.318693e+03 1.305220e-15 2.000000e-20
6.322860e+03 9.816424e-16 1.732051e-20
6.327026e+03 9.655078e-16 1.732051e-20
6.331192e+03 1.286735e-15 2.000000e-20
6.335359e+03 9.983588e-16 1.732051e-20
6.339525e+03 1.004123e-15 1.732051e-20
6.343692e+03 1.275576e-15 2.000000e-20
6.347858e+03 1.041207e-15 1.732051e-20
6.352024e+03 1.041632e-15 1.732051e-20
6.356191e+03 1.402670e-15 2.000000e-20
6.360357e+03 1.064140e-15 1.732051e-20
6.364524e+03 1.072850e-15 1.732051e-20
6.368690e+03 1.386251e-15 2.000000e-20
6.372857e+03 1.086150e-15 1.732051e-20
6.377023e+03 1.078350e-15 1.732051e-20
6.381189e+03 1.510828e-15 2.000000e-20
6.385356e+03 1.066029e-15 1.732051e-20
6.389522e+03 1.153807e-15 1.732051e-20
6.393689e+03 1.595222e-15 2.000000e-20
6.397855e+03 1.187006e-15 1.732051e-20
6.402021e+03 1.244901e-15 1.732051e-20
6.406188e+03 1.697815e-15 2.000000e-20
6.410354e+03 1.318210e-15 1.732051e-20
6.414521e+03 1.362524e-15 1.732051e-20
6.418687e+03 1.810057e-15 2.000000e-20
6.422853e+03 1.366379e-15 1.732051e-20
6.427020e+03 1.363214e-15 1.732051e-20
6.431186e+03 1.918706e-15 2.000000e-20
6.435353e+03 1.449967e-15 1.732051e-20
6.439519e+03 1.456846e-15 1.732051e-20
6.443685e+03 2.066777e-15 2.000000e-20
6.447852e+03 1.534954e-15 1.732051e-20
6.452018e+03 1.566581e-15 1.732051e-20
6.456185e+03 2.079335e-15 2.000000e-20
6.460351e+03 1.616366e-15 1.732051e-20
6.464518e+03 1.624808e-15 1.732051e-20
6.468684e+03 2.167092e-15 2.000000e-20
6.472850e+03 1.661393e-15 1.732051e-20
6.477017e+03 1.681378e-15 1.732051e-20
6.481183e+03 2.247567e-15 2.000000e-20
6.485350e+03 1.747345e-15 1.732051e-20
6.489516e+03 1.720507e-15 1.732051e-20
6.493682e+03 2.363090e-15 2.000000e-20
6.497849e+03 1.787736e-15 1.732051e-20
6.502015e+03 1.823861e-15 1.732051e-20
6.506182e+03 1.819437e-15 1.732051e-20
6.510348e+03 2.340961e-15 2.000000e-20
6.514514e+03 1.788990e-15 1.732051e-20
6.518681e+03 1.820360e-15 1.732051e-20
6.522847e+03 2.450317e-15 2.000000e-20
6.527014e+03 1.819776e-15 1.732051e-20
6.531180e+03 1.827093e-15 1.732051e-20
6.535347e+03 2.452254e-15 2.000000e-20
6.539513e+03 1.846344e-15 1.732051e-20
6.543679e+03 1.849067e-15 1.732051e-20
6.547846e+03 2.453805e-15 2.000000e-20
6.552012e+03 1.831016e-15 1.732051e-20
6.556179e+03 1.844517e-15 1.732051e-20
6.560345e+03 2.485959e-15 2.000000e-20
6.564511e+03 1.838270e-15 1.732051e-20
6.568678e+03 1.847919e-15 1.732051e-20
6.572844e+03 2.398957e-15 2.000000e-20
6.577011e+03 1.828424e-15 1.732051e-20
6.581177e+03 1.816471e-15 1.732051e-20
6.585343e+03 2.412856e-15 2.000000e-20
6.589510e+03 1.852460e-15 1.732051e-20
6.593676e+03 1.842020e-15 1.732051e-20
6.597843e+03 2.406032e-15 2.000000e-20
6.602009e+03 1.828128e-15 1.732051e-20
6.606175e+03 1.762992e-15 1.732051e-20
6.610342e+03 2.356288e-15 2.000000e-20
6.614508e+03 1.746169e-15 1.732051e-20
6.618675e+03 1.789837e-15 1.732051e-20
6.622841e+03 2.339150e-15 2.000000e-20
6.627008e+03 1.765323e-15 1.732051e-20
6.631174e+03 1.757240e-15 1.732051e-20
6.635340e+03 2.291969e-15 2.000000e-20
6.639507e+03 1.723184e-15 1.732051e-20
6.643673e+03 1.711013e-15 1.732051e-20
6.647840e+03 2.305785e-15 2.000000e-20
6.652006e+03 1.707868e-15 1.732051e-20
6.656172e+03 1.696040e-15 1.732051e-20
