supernova_name,spextractor_pEW,spextractor_pEW_err,paper_pEW,paper_pEW_err,spextractor_vel,spextractor_vel_err,paper_vel,paper_vel_err
SN2005M,41.6,4.0,47.5,4.5,8.7,0.6,9.2,0.4
SN2003cg,96.7,6.5,146.8,10.3,12.9,0.5,13.2,0.9
SN2002cr,120.6,2.5,104.6,2.0,12.2,0.4,10.1,0.1
ASASSN-15hf,78.1,7.8,83.6,2.9,12.0,0.5,11.1,0.3
SN2001en,136.1,3.2,135.0,3.1,12.9,0.4,12.6,0.3
SN2002eb,64.7,4.7,65.0,4.1,10.4,0.5,10.1,0.2
SN2014dn,N/A,N/A,140.1,4.7,N/A,N/A,10.4,0.6
SN2006D,N/A,N/A,100.4,1.1,N/A,N/A,11.2,0.2
SN2012ht,102.3,3.2,115.2,2.7,13.3,7.9,10.9,0.2
ASASSN-14kq,N/A,N/A,82.5,3.5,N/A,N/A,10.5,0.3
SN2005bg,141.9,3.9,105.5,9.9,17.5,0.5,10.6,0.3
SN2001V,40.4,4.9,57.0,1.9,13.5,0.7,11.4,0.1
SN2012hl,116.8,14.2,142.0,7.3,13.3,0.9,12.9,0.2
SN2002dj,153.8,5.2,151.0,2.3,17.2,0.7,14.0,0.3
SN2013E,62.2,4.7,65.2,3.0,11.8,0.8,12.6,0.3
ASASSN-15dd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2009D,58.3,1.8,77.5,6.5,17.8,0.4,9.7,0.3
SN2002bo,127.2,10.0,150.4,9.3,17.2,1.0,13.4,0.2
SN2007as,127.3,3.1,138.3,4.7,19.0,0.5,12.6,0.4
ASASSN-15bm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASASSN-14mf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2002he,107.3,8.5,118.3,1.5,14.2,0.8,12.6,0.2
LSQ15aja,42.6,25.1,78.1,8.1,9.3,4.1,10.2,0.3
LSQ11bk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2006le,99.7,12.0,93.3,5.2,19.4,1.0,11.4,0.2
SN1999dq,109.1,4.2,44.8,2.3,-7.7,2.0,11.1,0.1
PS1-14xw,78.0,4.3,77.8,2.7,13.1,0.8,11.7,0.2
SN2005de,104.3,7.3,102.9,3.5,12.3,0.3,10.7,0.3
SN2006br,N/A,N/A,111.8,8.5,N/A,N/A,13.9,0.4
ASASSN-15ga,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
